path,type,name,signature,language
code2logic/cli.py,function,ensure_dependencies,(),python
code2logic/cli.py,function,main,(),python
code2logic/llm.py,class,OllamaClient,(),python
code2logic/llm.py,method,OllamaClient.__init__,"(self,config)",python
code2logic/llm.py,method,OllamaClient.generate,"(self,prompt,system)->str",python
code2logic/llm.py,method,OllamaClient.chat,"(self,messages)->str",python
code2logic/llm.py,method,OllamaClient.is_available,(self)->bool,python
code2logic/llm.py,method,OllamaClient.list_models,(self)->List[str],python
code2logic/llm.py,class,LiteLLMClient,(),python
code2logic/llm.py,method,LiteLLMClient.__init__,"(self,config)",python
code2logic/llm.py,method,LiteLLMClient.generate,"(self,prompt,system)->str",python
code2logic/llm.py,method,LiteLLMClient.chat,"(self,messages)->str",python
code2logic/llm.py,method,LiteLLMClient.is_available,(self)->bool,python
code2logic/llm.py,class,CodeAnalyzer,(),python
code2logic/llm.py,method,CodeAnalyzer.__init__,"(self,model,provider,base_url)",python
code2logic/llm.py,method,CodeAnalyzer.is_available,(self)->bool,python
code2logic/llm.py,method,CodeAnalyzer.suggest_refactoring,"(self,project)->List[Dict[str, Any]]",python
code2logic/llm.py,method,CodeAnalyzer.find_semantic_duplicates,"(self,project)->List[Dict[str, Any]]",python
code2logic/llm.py,method,CodeAnalyzer.generate_code,"(self,project,target_lang,module_filter)->Dict[str, str]",python
code2logic/llm.py,method,CodeAnalyzer.translate_function,"(self,name,signature,intent...+2)->str",python
code2logic/llm.py,method,CodeAnalyzer._build_signature,"(self,f)->str",python
code2logic/llm.py,function,get_available_backends,"()->Dict[str, bool]",python
code2logic/analyzer.py,class,ProjectAnalyzer,(),python
code2logic/analyzer.py,method,ProjectAnalyzer.__init__,"(self,root_path,use_treesitter,verbose...+1)",python
code2logic/analyzer.py,method,ProjectAnalyzer._print_status,(self),python
code2logic/analyzer.py,method,ProjectAnalyzer. Projec,"(Info)->     """"""
  ",python
code2logic/analyzer.py,method,"ProjectAnalyzer.):
        ","(""""Sc)",python
code2logic/analyzer.py,method,ProjectAnalyzer.nts(self) -> List[s,"(r])->   """"""Det",python
code2logic/analyzer.py,method,"ProjectAnalyzer.elf) -> Dict:
","(    )->""
  ",python
code2logic/analyzer.py,function,"
    path: str,","(se_t,bool = True,
 ,False,
)-> """"""
    Co",python
code2logic/analyzer.py,function,"us() -> Dict[str, ","()->
    """"""
    Ge",python
code2logic/parsers.py,class,TreeSitterParser,(),python
code2logic/parsers.py,method,TreeSitterParser.__init__,(self),python
code2logic/parsers.py,method,TreeSitterParser._init_parsers,(self),python
code2logic/parsers.py,method,TreeSitterParser.is_available,"(self,language)->bool",python
code2logic/parsers.py,method,TreeSitterParser.get_supported_languages,(cls)->List[str],python
code2logic/parsers.py,method,TreeSitterParser.parse,"(self,filepath,content,language)->Optional[ModuleInfo]",python
code2logic/parsers.py,method,TreeSitterParser._parse_python,"(self,filepath,content,tree)->ModuleInfo",python
code2logic/parsers.py,method,TreeSitterParser._extract_py_function,"(self,node,content,decorated_node)->Optional[FunctionInfo]",python
code2logic/parsers.py,method,TreeSitterParser._extract_py_class,"(self,node,content)->Optional[ClassInfo]",python
code2logic/parsers.py,method,TreeSitterParser._extract_py_import,"(self,node,content)->List[str]",python
code2logic/parsers.py,method,TreeSitterParser._extract_py_from_import,"(self,node,content)->List[str]",python
code2logic/parsers.py,method,TreeSitterParser._extract_py_constant,"(self,node,content)->Optional[str]",python
code2logic/parsers.py,method,TreeSitterParser._parse_js_ts,"(self,filepath,content,tree...+1)->ModuleInfo",python
code2logic/parsers.py,method,TreeSitterParser._extract_js_class,"(self,node,content)->Optional[ClassInfo]",python
code2logic/parsers.py,method,TreeSitterParser._extract_js_method,"(self,node,content)->Optional[FunctionInfo]",python
code2logic/parsers.py,method,TreeSitterParser._extract_js_function,"(self,node,content)->Optional[FunctionInfo]",python
code2logic/parsers.py,method,TreeSitterParser._extract_js_arrow_fn,"(self,node,content)->Optional[FunctionInfo]",python
code2logic/parsers.py,method,TreeSitterParser._extract_js_params,"(self,params_node,content)->List[str]",python
code2logic/parsers.py,method,TreeSitterParser._extract_ts_type,"(self,node,content)->Optional[TypeInfo]",python
code2logic/parsers.py,method,TreeSitterParser._extract_ts_enum,"(self,node,content)->Optional[TypeInfo]",python
code2logic/parsers.py,method,TreeSitterParser._extract_js_constant,"(self,node,content)->Optional[str]",python
code2logic/parsers.py,method,TreeSitterParser._extract_js_comment,"(self,node,content)->Optional[str]",python
code2logic/parsers.py,method,TreeSitterParser._find_child,"(self,node,type_name)",python
code2logic/parsers.py,method,TreeSitterParser._text,"(self,node,content)->str",python
code2logic/parsers.py,method,TreeSitterParser._extract_string,"(self,node,content)->str",python
code2logic/parsers.py,class,UniversalParser,(),python
code2logic/parsers.py,method,UniversalParser.__init__,(self),python
code2logic/parsers.py,method,UniversalParser.parse,"(self,filepath,content,language)->Optional[ModuleInfo]",python
code2logic/parsers.py,method,UniversalParser._parse_python,"(self,filepath,content)->Optional[ModuleInfo]",python
code2logic/parsers.py,method,UniversalParser._extract_ast_function,"(self,node)->FunctionInfo",python
