path,type,name,signature,language,intent,category,domain,imports
code2logic/cli.py,function,ensure_dependencies,(),python,Auto-install optional dependencies for best results.,other,code2logic,"argparse,os,sys,subprocess"
code2logic/cli.py,function,main,(),python,Main CLI entry point.,other,code2logic,"argparse,os,sys,subprocess"
code2logic/llm.py,class,OllamaClient,(),python,,other,llm,json
code2logic/llm.py,method,OllamaClient.__init__,"(self,config)",python,creates,lifecycle,llm,json
code2logic/llm.py,method,OllamaClient.generate,"(self,prompt,system)->str",python,Generate completion from Ollama.,other,llm,json
code2logic/llm.py,method,OllamaClient.chat,"(self,messages)->str",python,Chat completion from Ollama.,other,llm,json
code2logic/llm.py,method,OllamaClient.is_available,(self)->bool,python,Check if Ollama is running.,validate,llm,json
code2logic/llm.py,method,OllamaClient.list_models,(self)->List[str],python,List available models.,validate,llm,json
code2logic/llm.py,class,LiteLLMClient,(),python,,other,llm,json
code2logic/llm.py,method,LiteLLMClient.__init__,"(self,config)",python,creates,lifecycle,llm,json
code2logic/llm.py,method,LiteLLMClient.generate,"(self,prompt,system)->str",python,Generate completion via LiteLLM.,other,llm,json
code2logic/llm.py,method,LiteLLMClient.chat,"(self,messages)->str",python,Chat completion via LiteLLM.,other,llm,json
code2logic/llm.py,method,LiteLLMClient.is_available,(self)->bool,python,Check if LiteLLM backend is available.,validate,llm,json
code2logic/llm.py,class,CodeAnalyzer,(),python,,other,llm,json
code2logic/llm.py,method,CodeAnalyzer.__init__,"(self,model,provider,base_url)",python,Initialize CodeAnalyzer.,lifecycle,llm,json
code2logic/llm.py,method,CodeAnalyzer.is_available,(self)->bool,python,Check if LLM backend is available.,validate,llm,json
code2logic/llm.py,method,CodeAnalyzer.suggest_refactoring,"(self,project)->List[Dict[str, Any]]",python,Analyze project and suggest refactoring improvements.,transform,llm,json
code2logic/llm.py,method,CodeAnalyzer.find_semantic_duplicates,"(self,project)->List[Dict[str, Any]]",python,Find semantically similar functions using LLM.,read,llm,json
